
id,art,product_name,preis,category,desc,attr1,attr2,attr3
1,185540242-4,"Veal - Insides, Grains","€69,89",Electronics,in quis justo maecenas,n/a,n/a,Consumer Services
2,868719267-3,"Pasta - Tortellini, Fresh","€135,50",Shoes,proin risus praesent lectus vestibulum quam sapien varius,Capital Goods,n/a,
3,547895317-2,Cherries - Fresh,"€18,22",Clothing,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,n/a,Transportation,Capital Goods
4,579129745-9,Alize Red Passion,"€17,24",Games,primis in faucibus orci luctus et,Consumer Services,Consumer Services,
5,894196890-9,Clam Nectar,"€87,73",Industrial,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc,Technology,Finance,Finance
6,216869892-9,Pepper - Pablano,"€141,43",Industrial,lacus at turpis donec posuere metus vitae ipsum aliquam,Health Care,Finance,Capital Goods
7,651062029-4,Longos - Chicken Wings,"€111,64",Music,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,Capital Goods,Health Care,Finance
8,680527487-7,Mushroom - King Eryingii,"€17,05",Grocery,,,n/a,Basic Industries
9,,Bay Leaf Fresh,,Kids,ligula in lacus curabitur at,Finance,Finance,
10,710447657-1,Appetizer - Shrimp Puff,"€67,19",Jewelry,nisl aenean lectus pellentesque,n/a,n/a,n/a
11,141687864-5,Dried Figs,"€45,11",Games,tempus vivamus in felis eu sapien cursus,n/a,Consumer Services,Consumer Durables
12,644180411-5,Garlic - Peeled,"€133,11",Baby,orci luctus et ultrices posuere cubilia curae mauris,Health Care,Finance,Finance
13,600071710-5,Sugar - Icing,"€11,21",Music,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in,Basic Industries,Miscellaneous,
14,418307640-4,Oysters - Smoked,"€36,43",Garden,lacus at velit vivamus vel nulla eget eros elementum,Technology,Health Care,
15,537951099-X,Energy Drink - Franks Pineapple,"€89,38",Garden,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,Finance,Health Care,Health Care
16,493711680-0,Drambuie,"€89,64",Grocery,nulla justo aliquam quis turpis,Energy,Health Care,Miscellaneous
17,114426617-3,Beans - Green,"€79,96",Movies,nisl duis bibendum felis sed interdum,Miscellaneous,Consumer Durables,
18,777662868-9,Spice - Paprika,"€126,44",Garden,suscipit ligula in lacus curabitur at ipsum ac tellus semper,Finance,Public Utilities,Miscellaneous
19,785943100-9,Initation Crab Meat,"€145,22",Clothing,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis,Basic Industries,Health Care,Technology
20,047772506-6,"Juice - Tomato, 48 Oz","€72,55",Garden,lectus vestibulum quam sapien varius ut blandit non interdum in ante,Consumer Non-Durables,n/a,Consumer Services
21,668207188-4,Longos - Penne With Pesto,"€11,71",Toys,gravida nisi at nibh in hac habitasse platea dictumst,Health Care,n/a,
22,568538955-8,Wine - Sicilia Igt Nero Avola,"€48,91",Movies,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,Basic Industries,Basic Industries,n/a
23,938980685-2,Sea Urchin,"€139,84",Books,maecenas ut massa quis augue luctus,Finance,n/a,n/a
24,196685573-7,Cheese - Cottage Cheese,"€35,45",Garden,morbi odio odio elementum eu interdum eu tincidunt in leo,Finance,Transportation,Consumer Services
25,724156057-4,Beef - Tenderloin,"€57,98",Baby,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,Finance,Consumer Services,Technology
26,065198190-5,Wine - Gato Negro Cabernet,"€141,49",Outdoors,maecenas rhoncus aliquam lacus morbi quis tortor id nulla,Health Care,Consumer Services,Technology
27,841284503-X,Sprouts - China Rose,"€136,46",Home,metus aenean fermentum donec ut mauris eget,Capital Goods,n/a,Consumer Services
28,173018114-7,"Coffee - Colombian, Portioned","€123,01",Books,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec,Finance,Health Care,n/a
29,049014892-1,"Gingerale - Schweppes, 355 Ml","€92,93",Outdoors,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,n/a,Transportation,Capital Goods
30,087109052-X,Lettuce - Treviso,"€69,34",Shoes,donec vitae nisi nam ultrices libero non mattis,n/a,Finance,Finance
